#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:firsthalf" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:firsthalf" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:firsthalf">
#                <taxonset id="TaxonSet.firsthalf" spec="beast.evolution.alignment.TaxonSet">
#                    <alignment filter="1-449" id="firsthalf" spec="beast.evolution.alignment.FilteredAlignment">
#                    </alignment>
#                </taxonset>
#            </tree>
#        </distribution>
#        <distribution id="BMT_PropInvariablePrior.s:firsthalf" spec="beast.math.distributions.BMTPrior">
#            <count id="hasInvariableSites.s:firsthalf" spec="beast.core.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_ProportionInvariable.s:firsthalf" lower="0.0" name="x" upper="1.0">0.1</parameter>
#            <Beta id="Beta.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" upper="0.0">1.0</parameter>
#                <parameter id="RealParameter.01" lower="0.0" name="beta" upper="0.0">4.0</parameter>
#            </Beta>
#        </distribution>
#        <distribution id="BMT_RatesPrior.s:firsthalf" spec="beast.math.distributions.NucleotideRevJumpSubstModelRatePrior">
#            <modelIndicator id="BMT_ModelIndicator.s:firsthalf" lower="0" spec="beast.core.parameter.IntegerParameter" upper="5">5</modelIndicator>
#            <substModel id="RevJump.s:firsthalf" modelIndicator="@BMT_ModelIndicator.s:firsthalf" spec="beast.evolution.substitutionmodel.NucleotideRevJumpSubstModel">
#                <parameter dimension="6" id="BMT_Rates.s:firsthalf" lower="0.01" name="rates" upper="100.0">1.0</parameter>
#                <frequencies empirical="false" id="BMTfreqs.s:firsthalf" spec="beast.evolution.substitutionmodel.ModelFrequencies">
#                    <hasEqualFreqs id="hasEqualFreqs.s:firsthalf" spec="beast.core.parameter.BooleanParameter">false</hasEqualFreqs>
#                    <parameter dimension="4" id="BMT_frequencies.s:firsthalf" name="frequencies">0.25 0.25 0.25 0.25</parameter>
#                </frequencies>
#            </substModel>
#            <parameter idref="BMT_Rates.s:firsthalf" name="x"/>
#            <Exponential id="BMT_RatesPrior.s:firsthalfx" name="distr"/>
#        </distribution>
#        <prior id="BMT_freqsPrior.s:firsthalf" name="distribution" x="@BMT_frequencies.s:firsthalf">
#            <distr id="Dirichlet.0" spec="beast.math.distributions.Dirichlet">
#                <parameter dimension="4" id="RealParameter.02" lower="0.0" name="alpha" upper="0.0">1.0 1.0 1.0 1.0</parameter>
#            </distr>
#        </prior>
#        <distribution id="BMT_GammaShapePrior.s:firsthalf" spec="beast.math.distributions.BMTPrior">
#            <count id="hasGammaRates.s:firsthalf" spec="beast.core.parameter.IntegerParameter">1</count>
#            <parameter id="BMT_gammaShape.s:firsthalf" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.03" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:firsthalf" name="distribution" x="@birthRate.t:firsthalf">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@firsthalf" id="treeLikelihood.firsthalf" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:firsthalf">
#            <siteModel gammaCategoryCount="4" hasGammaRates="@hasGammaRates.s:firsthalf" hasInvariantSites="@hasInvariableSites.s:firsthalf" id="BEASTModelTest.s:firsthalf" proportionInvariant="@BMT_ProportionInvariable.s:firsthalf" shape="@BMT_gammaShape.s:firsthalf" spec="beast.evolution.sitemodel.BEASTModelTestSiteModel" substModel="@RevJump.s:firsthalf">
#                <parameter estimate="false" id="BMT_mutationRate.s:firsthalf" name="mutationRate">1.0</parameter>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:firsthalf" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:firsthalf" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:firsthalf" id="treeLikelihood.secondhalf" siteModel="@BEASTModelTest.s:firsthalf" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:firsthalf">
#            <data data="@Primates" filter="450-898" id="secondhalf" spec="beast.evolution.alignment.FilteredAlignment"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.firsthalf	treeLikelihood.secondhalf	TreeHeight	YuleModel	birthRate	rateAC	rateAG	rateAT	rateCG	rateCT	rateGT	substmodel	BMT_ModelIndicator	BMT_Rates.1	BMT_Rates.2	BMT_Rates.3	BMT_Rates.4	BMT_Rates.5	BMT_Rates.6	BMT_gammaShape	BMT_ProportionInvariable	hasGammaRates	hasInvariableSites	ActivePropInvariable	ActiveGammaShape	hasEqualFreqs	BMT_frequencies.1	BMT_frequencies.2	BMT_frequencies.3	BMT_frequencies.4
10000	-5825.624586735232	-5829.897298768968	4.272712033735681	-2955.1997551265877	-2874.69754364238	0.3086262927355723	8.67024799245933	7.37092925875902	0.9703711667434972	1.4595146897391917	0.5728419387851913	0.04808073644335388	2.901110731845412	0.04808073644335388	123454	29	0.9703711667434972	1.4595146897391917	0.5728419387851913	0.04808073644335388	2.901110731845412	0.07402390011584739	1.4499310589218721	0.20331445419457117	1	1	0.20331445419457117	1.4499310589218721	0	0.25597985024893005	0.25282318326944947	0.23777871638090486	0.2534182501007155
11000	-5824.759873174671	-5828.889320565637	4.129447390965728	-2956.4594280649576	-2872.429892500679	0.2693537774485736	9.050858069301487	4.229735762719311	1.0001945944815656	1.4595146897391917	0.5700023408030666	0.04352332677721865	2.8832417214217387	0.04352332677721865	123454	29	1.0001945944815656	1.4595146897391917	0.5700023408030666	0.04352332677721865	2.8832417214217387	0.07402390011584739	1.6721329451866	0.2756775122922052	1	1	0.2756775122922052	1.6721329451866	0	0.25597985024893005	0.25282318326944947	0.23777871638090486	0.2534182501007155
12000	-5823.338997602044	-5827.375032970072	4.036035368028031	-2953.8753697812053	-2873.4996631888675	0.29194053695841626	8.261105920379617	3.8563501995067497	0.8638490128405351	1.4415837417415727	0.6236460216425658	0.039333416241176304	2.992254391292974	0.039333416241176304	123454	29	0.8638490128405351	1.4415837417415727	0.6236460216425658	0.039333416241176304	2.992254391292974	0.07402390011584739	1.3149193400174846	0.20381250818819144	1	1	0.20381250818819144	1.3149193400174846	0	0.25597985024893005	0.2505550625699389	0.23777871638090486	0.25568637080022605
13000	-5818.947043898899	-5823.65801731504	4.710973416140242	-2955.137358672979	-2868.52065864206	0.31448353678313884	8.41758914879788	4.7044386379083	0.7754224583663915	1.4605460175024458	0.5010570366943093	0.05016162010404063	3.162651247228772	0.05016162010404063	123454	29	0.7754224583663915	1.4605460175024458	0.5010570366943093	0.05016162010404063	3.162651247228772	0.07402390011584739	1.0564084405000527	0.16928852563420457	1	1	0.16928852563420457	1.0564084405000527	0	0.25597985024893005	0.2505550625699389	0.2355033269678418	0.2579617602132891
14000	-5811.834262788426	-5816.336267761411	4.50200497298529	-2945.2325111712976	-2871.1037565901133	0.3010809789426575	8.280856193195646	8.649724448170625	0.936313414610327	1.3836020233466069	0.40653785666102565	0.02023830639419163	3.198131577861731	0.05517682112611711	123456	30	0.936313414610327	1.3836020233466069	0.40653785666102565	0.02023830639419163	3.198131577861731	0.05517682112611711	1.0564084405000527	0.16928852563420457	1	1	0.16928852563420457	1.0564084405000527	0	0.2618508369389631	0.256285261182506	0.2297731283552747	0.25209077352325604
15000	-5810.087258952362	-5814.48497643956	4.397717487197719	-2946.047663873646	-2868.437312565915	0.3291630134506478	8.30028570101022	5.519953904327063	0.7678121452932914	1.4411312729064505	0.45416118150963486	0.05029323770347023	3.2363089248836814	0.05029323770347023	123454	29	0.7678121452932914	1.4411312729064505	0.45416118150963486	0.05029323770347023	3.2363089248836814	0.036550219413007456	1.0746130149223079	0.22666319004585625	1	1	0.22666319004585625	1.0746130149223079	0	0.2598029893853446	0.25833310873612453	0.2297731283552747	0.25209077352325604
16000	-5810.696546379093	-5814.996875196253	4.300328817160532	-2946.445357786874	-2868.551517409379	0.2975366197016946	8.935126792971033	8.198810881103498	0.8554008606103296	1.4795786669766342	0.486973313976971	0.03250565353078197	3.1130358513745002	0.03250565353078197	123454	29	0.8554008606103296	1.4795786669766342	0.486973313976971	0.03250565353078197	3.1130358513745002	0.036550219413007456	1.609399696773005	0.2573971283109861	1	1	0.2573971283109861	1.609399696773005	0	0.2598029893853446	0.25833310873612453	0.2297731283552747	0.25209077352325604
17000	-5809.236823915731	-5813.429772870453	4.19294895472213	-2943.220752789576	-2870.2090200808775	0.3172926162139917	8.12098453911106	4.773423424056677	0.7053815636400971	1.4795786669766342	0.36070131054170895	0.04127815575528686	3.371782147330985	0.04127815575528686	123454	29	0.7053815636400971	1.4795786669766342	0.36070131054170895	0.04127815575528686	3.371782147330985	0.036550219413007456	1.29129287276824	0.2035659428099896	1	1	0.2035659428099896	1.29129287276824	0	0.25986006874161616	0.2656073427059857	0.2297731283552747	0.24475946019712327
18000	-5804.530589338684	-5809.108252577156	4.577663238471911	-2945.353235089741	-2863.755017487415	0.33229993742702063	8.188700362893435	7.3763933288152215	0.7700732653046958	1.4358504310366482	0.36070131054170895	0.07561259424946071	3.2821498046180246	0.07561259424946071	123454	29	0.7700732653046958	1.4358504310366482	0.36070131054170895	0.07561259424946071	3.2821498046180246	0.036550219413007456	0.9358661246758723	0.20033687371346	1	1	0.20033687371346	0.9358661246758723	0	0.25986006874161616	0.2656073427059857	0.22435734245156358	0.2501752461008344
19000	-5803.309441557559	-5807.28408956132	3.9746480037611507	-2945.2887506525526	-2861.9953389087673	0.3704837619377774	7.498730313382324	5.669279936466688	0.7030125578812392	1.2824629255729258	0.5190212316266278	0.07561259424946071	3.3442780964202843	0.07561259424946071	123454	29	0.7030125578812392	1.2824629255729258	0.5190212316266278	0.07561259424946071	3.3442780964202843	0.036550219413007456	0.9483818115941708	0.15958564039755713	1	1	0.15958564039755713	0.9483818115941708	0	0.25986006874161616	0.2656073427059857	0.22435734245156358	0.2501752461008344
